time_s,actual_linear_mps,actual_angular_radps
0.0,0.0,0.0
0.0998849868774414,0.0,0.0
0.11547446250915527,0.0,0.0
0.19993019104003906,0.0,0.0
0.26009511947631836,0.0,0.0
0.29990625381469727,0.0,0.0
0.3998992443084717,0.0,0.0
0.41111016273498535,0.0,0.0
0.49990272521972656,0.0,0.0
0.5758323669433594,0.0,0.0
0.599905252456665,0.0,0.0
0.6998934745788574,0.0,0.0
0.7281613349914551,0.0,0.0
0.7999861240386963,0.0,0.0
0.896092414855957,0.0,0.0
0.8998048305511475,0.0,0.0
0.9999070167541504,0.0,0.0
1.0392234325408936,0.0,0.0
1.0999505519866943,0.0,0.0
1.1673429012298584,0.0,0.0
1.1999456882476807,0.0,0.0
1.299915075302124,0.0,0.0
1.3234879970550537,0.0,0.0
1.3999440670013428,0.0,0.0
1.461099624633789,0.0,0.0
1.500007152557373,0.0,0.0
1.6000022888183594,0.0,0.0
1.6129848957061768,0.0,0.0
1.699981927871704,0.0,0.0
1.7619009017944336,0.0,0.0
1.7999072074890137,0.0,0.0
1.8999404907226562,0.0,0.0
1.909484624862671,0.0,0.0
1.9999215602874756,0.0,0.0
2.085298776626587,0.0,0.0
2.1023998260498047,0.0,0.0
2.199904680252075,0.0,0.0
2.21052885055542,0.0,0.0
2.299896717071533,0.0,0.0
2.383612871170044,0.0,0.0
2.40083909034729,0.0,0.0
2.4999353885650635,0.0,0.0
2.53505277633667,0.0,0.0
2.599902868270874,0.0,0.0
2.6718461513519287,0.0,0.0
2.6999144554138184,0.0,0.0
2.799934148788452,0.0,0.0
2.838681936264038,0.0,0.0
2.8999712467193604,0.0,0.0
2.99690318107605,0.0,0.0
3.0003156661987305,0.0,0.0
3.099933385848999,0.0,0.0
3.1355090141296387,0.0,0.0
3.199955463409424,0.0,0.0
3.2718183994293213,0.0,0.0
3.299924612045288,0.0,0.0
3.399977922439575,0.0,0.0
3.4155502319335938,0.0,0.0
3.4999451637268066,0.0,0.0
3.5712153911590576,0.0,0.0
3.600008964538574,0.0,0.0
3.6999032497406006,0.0,0.0
3.71770977973938,0.0,0.0
3.7999141216278076,0.0,0.0
3.862262725830078,0.0,0.0
3.8999528884887695,0.0,0.0
3.999908924102783,0.0,0.0
4.0105369091033936,0.0,0.0
4.099923372268677,0.0,0.0
4.163465738296509,0.0,0.0
4.200751543045044,0.0,0.0
4.299917459487915,0.0,0.0
4.3602330684661865,0.0,0.0
4.399912357330322,0.0,0.0
4.494589567184448,0.0,0.0
4.499860763549805,0.0,0.0
4.599911689758301,0.0,0.0
4.610861539840698,0.0,0.0
4.700549840927124,0.0,0.0
4.783435583114624,0.0,0.0
4.80058741569519,0.0,0.0
4.899897575378418,0.0,0.0
4.931524038314819,0.0,0.0
4.99992299079895,0.0,0.0
5.071877956390381,0.0,0.0
5.0999534130096436,0.0,0.0
5.199902534484863,0.0,0.0
5.215590715408325,0.0,0.0
5.299917459487915,0.0,0.0
5.383572101593018,0.0,0.0
5.3999245166778564,0.0,0.0
5.499972820281982,0.0,0.0
5.523630857467651,0.0,0.0
5.599953889846802,0.0,0.0
5.668765068054199,0.0,0.0
5.699911594390869,0.0,0.0
5.799926996231079,0.0,0.0
5.8124730587005615,0.0,0.0
5.899931907653809,0.0,0.0
5.960579872131348,0.0,0.0
5.99988579750061,0.0,0.0
6.099912643432617,0.0,0.0
6.118706464767456,0.0,0.0
6.199967384338379,0.0,0.0
6.263587713241577,0.0,0.0
6.299938440322876,0.0,0.0
6.399963617324829,0.0,0.0
6.463106870651245,0.0,0.0
6.499891996383667,0.0,0.0
6.599920034408569,0.0,0.0
6.615334749221802,0.0,0.0
6.699908018112183,0.0,0.0
6.709622621536255,0.0,0.0
6.7999184131622314,0.0,0.0
6.895336866378784,0.0,0.0
6.899860620498657,0.0,0.0
6.999919891357422,0.0,0.0
7.03587794303894,0.0,0.0
7.099902629852295,0.0,0.0
7.18324089050293,0.0,0.0
7.199920654296875,0.0,0.0
7.299963712692261,0.0,0.0
7.327620267868042,0.0,0.0
7.399903059005737,0.0,0.0
7.479332447052002,0.0,0.0
7.49993634223938,0.0,0.0
7.599930286407471,0.0,0.0
7.623535394668579,0.0,0.0
7.699917554855347,0.0,0.0
7.799896717071533,0.0,0.0
7.811528205871582,0.0,0.0
7.899913311004639,0.0,0.0
7.919609785079956,0.0,0.0
7.999951362609863,0.0,0.0
8.083331108093262,0.0,0.0
8.099901676177979,0.0,0.0
8.199903726577759,0.0,0.0
8.256017684936523,0.0,0.0
8.299886465072632,0.0,0.0
8.383670091629028,0.0,0.0
8.39993166923523,0.0,0.0
8.499897003173828,0.0,0.0
8.536062479019165,0.0,0.0
8.59991979598999,0.0,0.0
8.67536973953247,0.0,0.0
8.69991135597229,0.0,0.0
8.799936532974243,0.0,0.0
8.827828168869019,0.0,0.0
8.899944543838501,0.0,0.0
8.975092649459839,0.0,0.0
8.999930620193481,0.0,0.0
9.099933624267578,0.0,0.0
9.119682550430298,0.0,0.0
9.199903726577759,0.0,0.0
9.26798963546753,0.0,0.0
9.299901485443115,0.0,0.0
9.39991545677185,0.0,0.0
9.409650564193726,0.0,0.0
9.499884843826294,0.0,0.0
9.562737226486206,0.0,0.0
9.599925994873047,0.0,0.0
9.699895143508911,0.0,0.0
9.709529876708984,0.0,0.0
9.799939632415771,0.0,0.0
9.87115478515625,0.0,0.0
9.899911165237427,0.0,0.0
9.999913930892944,0.0,0.0
10.023375749588013,0.0,0.0
10.099915504455566,0.0,0.0
10.199928283691406,0.0,0.0
10.203224658966064,0.0,0.0
10.299932479858398,0.0,0.0
10.323568105697632,0.0,0.0
10.399961233139038,0.0,0.0
10.46554684638977,0.02704865232400231,-0.12988074825403104
10.499934911727905,0.02704865232400231,-0.12988074825403104
10.599903583526611,0.02704865232400231,-0.12988074825403104
10.619548559188843,0.025583697562134397,-0.13833479637085064
10.69987940788269,0.025583697562134397,-0.13833479637085064
