time_s,left_tick,right_tick
0.111229182,10775551,11174203
0.172537804,10775551,11174203
0.195517302,10775551,11174203
0.259530306,10775551,11174203
0.331647396,10775551,11174203
0.343961716,10775551,11174203
0.403924227,10775551,11174203
0.447988272,10775551,11174203
0.527219296,10775551,11174203
0.551423312,10775551,11174203
0.614610434,10775551,11174203
0.664657355,10775551,11174203
0.692497492,10775551,11174203
0.755664587,10775551,11174203
0.800448418,10775551,11174203
0.846993924,10775551,11174203
0.903316737,10775551,11174203
0.951726437,10775551,11174203
0.996759653,10775551,11174203
1.052121401,10775551,11174203
1.123664379,10775551,11174203
1.191407442,10775551,11174203
1.195974112,10775551,11174203
1.267691613,10775551,11174203
1.299635649,10775551,11174203
1.3429448609999999,10775551,11174203
1.409435988,10775551,11174203
1.4753923420000001,10775551,11174203
1.493037701,10775551,11174203
1.548127652,10775551,11174203
1.605827809,10775551,11174203
1.6721363070000002,10775551,11174203
1.695533514,10775551,11174203
1.751687289,10775551,11174203
1.8330178259999999,10775551,11174203
1.845122576,10775551,11174203
1.909035445,10775551,11174203
1.947737456,10775551,11174203
1.994045973,10775551,11174203
2.060736895,10775551,11174203
2.107734919,10775551,11174203
2.143986702,10775551,11174203
2.200300932,10775551,11174203
2.269024372,10775551,11174203
2.326194287,10775551,11174203
2.340814829,10775551,11174203
2.41576314,10775551,11174203
2.460846424,10775551,11174203
2.497480393,10775551,11174203
2.556459427,10775551,11174203
2.616498947,10775551,11174203
2.660173416,10775551,11174203
2.692139387,10775551,11174203
2.759719849,10775551,11174203
2.807458401,10775551,11174203
2.841088057,10775551,11174203
2.908103228,10775551,11174203
2.997300864,10775551,11174203
3.005907059,10775551,11174203
3.079455138,10775551,11174203
3.094367981,10775551,11174203
3.143577099,10775551,11174203
3.215507031,10775551,11174203
3.260703802,10775551,11174203
3.297230721,10775551,11174203
3.352241278,10775551,11174203
3.426906348,10775551,11174203
3.499527216,10775551,11174203
3.501521826,10775551,11174203
3.5730221269999998,10775551,11174203
3.640661478,10775551,11174203
3.655996323,10775551,11174203
3.719390393,10775551,11174203
3.741057396,10775551,11174203
3.819809914,10775551,11174203
3.8514873979999997,10775551,11174203
3.895823002,10775551,11174203
3.956767559,10775551,11174203
4.029659033,10775551,11174203
4.045686961,10775551,11174203
4.096792698,10775551,11174203
4.175758362,10775551,11174203
4.194278002,10775551,11174203
4.243838787,10775551,11174203
4.301168204,10775551,11174203
4.360229493,10775551,11174203
4.395451308,10775551,11174203
4.456424952,10775551,11174203
4.525175572,10775551,11174203
4.541672469,10775551,11174203
4.594594241,10775551,11174203
4.671663523,10775551,11174203
4.690906525,10775551,11174203
4.751564265,10775551,11174203
4.81945324,10775551,11174203
4.85139513,10775551,11174203
4.898505211,10775551,11174203
4.972167969,10775551,11174203
5.023822308,10775551,11174203
5.048140049,10775551,11174203
5.111583948,10775551,11174203
5.142605543,10775551,11174203
5.195670367,10775551,11174203
5.268548727,10775551,11174203
5.299431563,10775551,11174203
5.343885422,10775551,11174203
5.419957638,10775551,11174203
5.475409031,10775551,11174203
5.493911982,10775551,11174203
5.548023939,10775551,11174203
5.604131222,10775551,11174203
5.643593073,10775551,11174203
5.695823193,10775551,11174203
5.763882637,10775551,11174203
5.837585211,10775551,11174203
5.845073223,10775551,11174203
5.912543297,10775551,11174203
5.9856987,10775551,11174203
5.9915502069999995,10775551,11174203
6.052624941,10775551,11174203
6.112116099,10775551,11174203
6.145237685,10775551,11174203
6.199644328,10775551,11174203
6.268519879,10775551,11174203
6.297381163,10775551,11174203
6.343715906,10775551,11174203
6.40335083,10775551,11174203
6.459992886,10775551,11174203
6.496825695,10775551,11174203
6.564276457,10775551,11174203
6.608868361,10775551,11174203
6.64560771,10775551,11174203
6.704104185,10775551,11174203
6.7716219429999995,10775551,11174203
6.830950499,10775551,11174203
6.844720364,10775551,11174203
6.919639588,10775551,11174203
6.992067337,10775551,11174203
6.994987965,10775551,11174203
7.059602499,10775551,11174203
7.109584809,10775551,11174203
7.1441137789999996,10775551,11174203
7.195964575,10775551,11174203
7.263915539,10775551,11174203
7.335629225,10775551,11174203
7.34046197,10775551,11174203
7.411510468,10775551,11174203
7.492326737,10775551,11174203
7.495369196,10775551,11174203
7.575687886,10775551,11174203
7.592886448,10775551,11174203
7.651908875,10775551,11174203
7.727642298,10775551,11174203
7.743430138,10775551,11174203
7.796447754,10775551,11174203
7.863831997,10775551,11174203
7.931964159,10775551,11174203
7.945562363,10775551,11174203
8.003942728,10775551,11174203
8.075554371,10775551,11174203
8.094819308,10775551,11174203
8.151998997,10775551,11174203
8.227626562,10775551,11174203
8.243868828,10775551,11174203
8.303882122,10775551,11174203
8.371896506,10775551,11174203
8.443338633,10775551,11174203
8.445183754,10775551,11174203
8.514592648,10775551,11174203
8.587370873,10775551,11174203
8.595059872,10775551,11174203
8.65636158,10775551,11174203
8.73148346,10775551,11174203
8.74746728,10775551,11174203
8.799665213,10775551,11174203
8.883625508,10775551,11174203
8.894713879,10775551,11174203
8.956063032,10775551,11174203
9.027618647,10775551,11174203
9.044888735,10775551,11174203
9.107532978,10775551,11174203
9.187272787,10775551,11174203
9.193614006,10775551,11174203
9.259604454,10775551,11174203
9.327254773,10775551,11174203
9.34356308,10775551,11174203
9.407900572,10775551,11174203
9.48340416,10775551,11174203
9.493375302,10775551,11174203
9.551747084,10775551,11174203
9.627257824,10775551,11174203
9.642990351,10775551,11174203
9.709362984,10775551,11174203
9.779381037,10775551,11174203
9.792598725,10775551,11174203
9.859962225,10775551,11174203
9.9401052,10775551,11174203
9.942321062,10775551,11174203
10.007627488,10775551,11174203
10.079449654,10775551,11174203
10.092765093,10775551,11174203
10.152062178,10775551,11174203
10.223825693,10775551,11174203
10.241623402,10775551,11174203
10.299584151,10775551,11174203
10.367851496,10775551,11174203
10.415581227,10775551,11174203
10.444222689,10775551,11174203
10.512665034,10775551,11174203
10.58390975,10775551,11174203
10.594346524,10775551,11174203
10.655941487,10775551,11174203
10.712552548,10775551,11174203
10.744069577,10775551,11174203
10.807598114,10775551,11174203
10.875265837,10775551,11174203
10.894254685,10775551,11174203
10.947642088,10775551,11174203
11.015495777,10775551,11174203
11.091370345,10775551,11174203
11.094482184,10775551,11174203
11.173162938,10775551,11174203
11.191813946,10775551,11174203
11.251965523,10775551,11174203
11.313298226,10775551,11174203
11.371220351,10775551,11174203
11.393301487,10775551,11174203
11.464212656,10775551,11174203
11.512555361,10775551,11174203
11.543892861,10775551,11174203
11.608674288,10775551,11174203
11.67557621,10775551,11174203
11.693661452,10775551,11174203
11.752709866,10775551,11174203
11.82792306,10775551,11174203
11.842407704,10775551,11174203
11.895949602,10775551,11174203
11.967973948000001,10775551,11174203
12.03504324,10775551,11174203
12.042943001,10775551,11174203
12.10357976,10775551,11174203
12.17551589,10775551,11174203
12.192600012,10775551,11174203
12.248299837,10775551,11174203
12.319615841,10775551,11174203
12.363146544,10775551,11174203
12.394292832,10775551,11174203
12.463893891,10775551,11174203
12.531368256,10775551,11174203
12.544107199,10775551,11174203
12.599576235,10775551,11174203
12.671662569,10775551,11174203
12.739136458,10775551,11174203
12.740650893,10775551,11174203
12.813414812,10775551,11174203
12.891224146,10775551,11174203
12.893050432999999,10775551,11174203
12.963249445,10775551,11174203
13.031259537,10775551,11174203
13.045570612,10775551,11174203
13.096043825,10775551,11174203
13.183923722,10775551,11174203
13.191010237,10775551,11174203
13.25981021,10775551,11174203
13.331298828,10775551,11174203
13.341407299,10775551,11174203
13.400061846,10775551,11174203
13.456511975,10775551,11174203
13.544395686,10775551,11174203
13.54838562,10775551,11174203
13.617323876,10775551,11174203
13.684587717,10775551,11174203
13.695115328,10775551,11174203
13.755390883,10775551,11174203
13.835519553,10775551,11174203
13.843030691,10775551,11174203
13.916445732,10775551,11174203
13.941225529,10775551,11174203
13.992412091,10775551,11174203
14.06469369,10775551,11174203
14.136337996,10775551,11174203
14.142476082,10775551,11174203
14.212877751,10775551,11174203
14.284834147,10775551,11174203
14.293014288,10775551,11174203
14.356319666,10775551,11174203
14.427512646,10775551,11174203
14.441529036,10775551,11174203
14.49950099,10775551,11174203
14.571801663,10775551,11174203
14.647115946,10775551,11174203
14.648370028,10775551,11174203
14.715753317,10775551,11174203
14.787301541,10775551,11174203
14.791212082,10775551,11174203
14.859763146,10775551,11174203
14.927605629,10775551,11174203
14.945412159,10775551,11174203
14.998015643,10775551,11174203
15.068087817,10775551,11174203
15.139522553,10775551,11174203
15.14304781,10775551,11174203
15.212180853,10775551,11174203
15.295443058,10775551,11174203
15.296978236,10775551,11174203
15.363841772,10775551,11174203
15.411531449,10775551,11174203
15.441641569,10775551,11174203
15.503868103,10775551,11174203
15.575635195,10775551,11174203
15.593132973,10775551,11174203
15.647842884,10775551,11174203
15.716189385,10775551,11174203
15.791348935,10775551,11174203
15.794923783,10775551,11174203
15.863950014,10775551,11174203
15.931378365,10775551,11174203
15.944929839,10775551,11174203
16.004263401,10775551,11174203
16.075572253,10775551,11174203
16.094672203,10775551,11174203
16.147533179,10775551,11174203
16.215495825,10775551,11174203
16.283318758,10775551,11174203
16.294930458,10775551,11174203
16.352288962,10775551,11174203
16.415496827,10775551,11174203
16.445206404,10775551,11174203
16.495544434,10775551,11174203
16.575582505,10775551,11174203
16.595219851,10775551,11174203
16.653542996,10775551,11174203
16.719564915,10775551,11174203
16.792680264,10775551,11174203
16.792845965,10775551,11174203
16.868054867,10775551,11174203
16.94746852,10775551,11174203
16.948982716,10775551,11174203
17.015704394,10775551,11174203
17.095392943,10775551,11174203
17.103745461,10775551,11174203
17.171414852,10775551,11174203
17.190971375,10775551,11174203
17.243581295,10775551,11174203
17.31580019,10775551,11174203
17.391539812,10775551,11174203
17.393614054,10775551,11174203
17.459941626,10775551,11174203
17.531640053,10775551,11174203
17.542561531,10775551,11174203
17.603544712,10775551,11174203
17.671735525,10775551,11174203
17.739287615,10775551,11174203
17.74513793,10775551,11174203
17.807800055,10775551,11174203
17.87940836,10775551,11174203
17.89428258,10775551,11174203
17.947600127,10775551,11174203
18.019711972,10775551,11174203
18.087346793,10775551,11174203
18.091955185,10775551,11174203
18.156386853,10775551,11174203
18.231615305,10775551,11174203
18.242618561,10775551,11174203
18.312462092,10775551,11174203
18.391565323000002,10775551,11174203
18.393707753,10775551,11174203
18.464925766,10775551,11174203
18.535623074,10775551,11174203
18.541754008,10775551,11174203
18.607784987,10775551,11174203
18.679647923,10775551,11174203
18.692397356,10775551,11174203
18.756083966,10775551,11174203
18.823601246,10775551,11174203
18.842817068,10775551,11174203
18.895134449,10775551,11174203
18.963879109,10775551,11174203
19.039740563,10775551,11174203
19.044754029,10775551,11174203
19.111937046,10775551,11174203
19.187461138,10775551,11174203
19.194493056,10775551,11174203
19.272808314,10775551,11174203
19.339342356,10775551,11174203
19.345000506,10775551,11174203
19.419733048,10775551,11174203
19.491690874,10775551,11174203
19.495023728,10775551,11174203
19.571283579,10775551,11174203
19.648155928,10775551,11174203
19.652632475,10775551,11174203
19.719623328,10775551,11174203
19.787440777,10775551,11174203
19.793580532,10775551,11174203
19.860700131,10775551,11174203
19.928158045,10775551,11174203
19.943674565,10775551,11174203
20.011935473,10775551,11174203
20.087868929,10775551,11174203
20.092800379,10775551,11174203
20.155918837,10775551,11174203
20.22367549,10775551,11174203
20.30740285,10775551,11174203
20.308767081,10775551,11174203
20.356441975,10775551,11174203
20.39325285,10775551,11174203
20.451928377,10775551,11174203
20.53195405,10775551,11174203
20.54342103,10775551,11174203
20.608053685,10775551,11174203
20.679949046,10775551,11174203
20.692951918,10775551,11174203
20.748090029,10775551,11174203
20.821399212,10775551,11174203
20.89161706,10775551,11174203
20.893257141,10775551,11174203
20.967998743,10775551,11174203
21.03945303,10775551,11174203
21.043385029,10775551,11174203
21.107547045,10775551,11174203
21.183535815,10775551,11174203
21.191962481,10775551,11174203
