time_s,command_linear_mps,command_angular_radps,command_age_s,actual_linear_mps,actual_angular_radps,left_wheel_mps,right_wheel_mps,left_tick,right_tick,x_m,y_m
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,-0.8
0.008875847,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,-0.8
0.05029583,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,-0.8
0.095849038,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,-0.8
0.108836413,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,-0.8
0.155388594,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
0.195530653,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
0.208818198,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
0.259545327,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
0.308811903,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
0.332105875,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
0.343895197,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
0.403539181,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
0.408762455,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
0.44956398,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
0.508838654,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
0.515253783,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
0.545882941,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
0.60885787,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
0.614610434,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
0.663295269,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
0.692464829,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
0.708834887,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
0.743531943,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
0.799978495,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
0.809438944,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
0.847238064,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
0.903417111,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
0.908766032,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
0.962672234,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
0.996121645,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
1.00890255,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
1.05188036,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
1.108799458,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
1.123590231,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
1.19140172,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
1.195937634,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
1.208820582,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
1.268120051,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
1.308813572,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
1.326684237,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
1.3444376,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
1.40716815,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
1.409986735,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
1.463760376,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
1.493069172,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
1.5091812610000002,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
1.5488543510000001,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
1.604418993,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
1.6088304519999999,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
1.6713514329999999,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
1.694368124,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
1.708821297,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
1.751675129,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
1.80871439,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
1.832259417,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
1.8465945719999999,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
1.907746077,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
1.9093499189999998,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
1.9476809510000002,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
1.994413138,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
2.008874178,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
2.059667111,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
2.107805491,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
2.109996081,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
2.144430399,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
2.199535132,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
2.208798409,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
2.268342495,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
2.308819533,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
2.323299647,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
2.340821505,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
2.408837796,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
2.416057825,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
2.461322308,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
2.4978976250000002,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
2.5087740419999998,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
2.556834221,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
2.608870983,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
2.6164281369999998,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
2.660133601,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
2.692047119,0.0,0.0,,0.0,0.0,0.0,0.0,10775551,11174203,0.0,-0.8
