time_s,linear_mps,angular_radps
27.473443747,0.0,0.0
28.476119757,0.0,0.0
28.513927698,0.0,-0.45
28.533885479,0.0,-0.45
28.553985596,0.0,-0.45
28.574160576,0.0,-0.45
28.594113589,0.0,-0.45
28.613920927,0.0,-0.45
28.63384676,0.0,-0.45
28.65398407,0.0,-0.45
28.67404604,0.0,-0.45
28.693933249,0.0,-0.45
28.713926554,0.0,-0.45
28.734333754,0.0,-0.45
28.754353285,0.0,-0.45
28.773911476,0.0,-0.45
28.793980837,0.0,-0.45
28.813915491,0.0,-0.45
28.834127188,0.0,-0.45
28.854096413,0.0,-0.45
28.874096871,0.0,-0.45
28.894136191,0.0,-0.45
28.91426754,0.0,-0.45
28.934358597,0.0,-0.45
28.954094887,0.0,-0.45
28.974274636,0.0,-0.45
28.994213581,0.0,-0.45
29.014143467,0.0,-0.45
29.034214497,0.0,-0.45
29.055065632,0.0,-0.45
29.073991776,0.0,-0.45
29.094174147,0.0,-0.45
29.11407137,0.0,-0.45
29.134311676,0.0,-0.45
29.154186488,0.0,-0.45
29.173879385,0.0,-0.45
29.193984509,0.0,-0.45
29.213994503,0.0,-0.45
29.2341218,0.0,-0.45
29.253968239,0.0,-0.45
29.273875475,0.0,-0.45
29.294505358,0.0,-0.45
29.313855887,0.0,-0.45
29.333932639,0.0,-0.45
29.354483128,0.0,-0.45
29.373980522,0.0,-0.45
29.394329787,0.0,-0.45
29.414060355,0.0,-0.45
29.434248448,0.0,-0.45
29.454403878,0.0,-0.45
29.474024058,0.0,-0.45
29.4940238,0.0,-0.45
29.513873101,0.0,-0.45
29.534030915,0.0,-0.45
29.554002047,0.0,-0.45
29.574361086,0.0,-0.45
29.595057726,0.0,-0.45
29.614721299,0.0,-0.45
29.634309054,0.0,-0.45
29.65435195,0.0,-0.45
29.673979998,0.0,-0.45
29.694442511,0.0,-0.45
29.713922024,0.0,-0.45
29.734513283,0.0,-0.45
29.753994227,0.0,-0.45
29.773789883,0.0,-0.45
29.794048548,0.0,-0.45
29.81387949,0.0,-0.45
29.833895922,0.0,-0.45
29.854250431,0.0,-0.45
29.873976231,0.0,-0.45
29.893845559,0.0,-0.45
29.913895369,0.0,-0.45
29.93406272,0.0,-0.45
29.953843594,0.0,-0.45
29.973878622,0.0,-0.45
29.994030953,0.0,-0.45
30.013964177,0.0,-0.45
30.033940792,0.0,-0.45
30.053844929,0.0,-0.45
30.073934079,0.0,-0.45
30.093889475,0.0,-0.45
30.113907576,0.0,-0.45
30.133714438,0.0,-0.45
30.153943777,0.0,-0.45
30.173948527,0.0,-0.45
30.193941832,0.0,-0.45
30.213755131,0.0,-0.45
30.233768463,0.0,-0.45
30.253889323,0.0,-0.45
30.274014235,0.0,-0.45
30.293828965,0.0,-0.45
30.31386447,0.0,-0.45
30.333888054,0.0,-0.45
30.354150057,0.0,-0.45
30.373935223,0.0,-0.45
30.394141198,0.0,-0.45
30.413870335,0.0,-0.45
30.434038878,0.0,-0.45
30.453865528,0.0,-0.45
30.473939658,0.0,-0.45
30.493806124,0.0,-0.45
30.51410532,0.0,-0.45
30.534257412,0.0,-0.45
30.554162741,0.0,-0.45
30.574026585,0.0,-0.45
30.594020844,0.0,-0.45
30.61410451,0.0,-0.45
30.634288788,0.0,-0.45
30.654661656000002,0.0,-0.45
30.674324751,0.0,-0.45
30.694103957,0.0,-0.45
30.714832306,0.0,-0.45
30.73406744,0.0,-0.45
