[gazebo_mapper] 参数: ns=/gz_debug, init_yaw_offset=0.0, gazebo_yaw_offset=3.14159
[gazebo_mapper] 未解析参数: []
[gazebo_mapper] 等待仿真时钟同步...
[gazebo_mapper] 仿真时钟已同步 (t=299.468s)
[gazebo_mapper] 等待 Gazebo 服务: /gz_debug/set_model_state
[gazebo_mapper] Gazebo 服务已连接
[gazebo_mapper] 初始位置: x=0.000, y=0.000, th=0.000 (init_yaw_offset)
[gazebo_mapper] 位置: x=-3.266, y=-1.381, TF=-3.3°, Gazebo=176.7°
[gazebo_mapper] 位置: x=-3.266, y=-1.381, TF=-3.3°, Gazebo=176.7°
[gazebo_mapper] 位置: x=-3.266, y=-1.381, TF=-3.3°, Gazebo=176.7°
[gazebo_mapper] 位置: x=-3.266, y=-1.381, TF=-3.3°, Gazebo=176.7°
[gazebo_mapper] 位置: x=-3.266, y=-1.381, TF=-3.3°, Gazebo=176.7°
[gazebo_mapper] 位置: x=-3.266, y=-1.381, TF=-3.3°, Gazebo=176.7°
[gazebo_mapper] 位置: x=-3.266, y=-1.381, TF=-3.3°, Gazebo=176.7°
[gazebo_mapper] 位置: x=-3.266, y=-1.381, TF=-3.3°, Gazebo=176.7°
[gazebo_mapper] 位置: x=-3.266, y=-1.381, TF=-3.3°, Gazebo=176.7°
[gazebo_mapper] 位置: x=-3.266, y=-1.381, TF=-3.3°, Gazebo=176.7°
[gazebo_mapper] 位置: x=-3.266, y=-1.381, TF=-3.3°, Gazebo=176.7°
[gazebo_mapper] 位置: x=-3.266, y=-1.381, TF=-3.3°, Gazebo=176.7°
[gazebo_mapper] 位置: x=-3.266, y=-1.381, TF=-3.3°, Gazebo=176.7°
[gazebo_mapper] 位置: x=-3.266, y=-1.381, TF=-3.3°, Gazebo=176.7°
[gazebo_mapper] 位置: x=-3.266, y=-1.381, TF=-3.3°, Gazebo=176.7°
[gazebo_mapper] 位置: x=-3.266, y=-1.381, TF=-3.3°, Gazebo=176.7°
[gazebo_mapper] 位置: x=-3.266, y=-1.381, TF=-3.3°, Gazebo=176.7°
Exception in thread Thread-6:
Traceback (most recent call last):
  File "/usr/lib/python3.8/threading.py", line 932, in _bootstrap_inner
    self.run()
  File "/opt/ros/noetic/lib/python3/dist-packages/rospy/timer.py", line 228, in run
    r.sleep()
  File "/opt/ros/noetic/lib/python3/dist-packages/rospy/timer.py", line 103, in sleep
    sleep(self._remaining(curr_time))
  File "/opt/ros/noetic/lib/python3/dist-packages/rospy/timer.py", line 163, in sleep
    raise rospy.exceptions.ROSTimeMovedBackwardsException(time_jump)
rospy.exceptions.ROSTimeMovedBackwardsException: ROS time moved backwards
