Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,8.9252E-05,0.040687,0.25548,0,0,0,3.6348,0.025881,1.2305E-06,2.0103E-05,0.025906,5.3567E-05,0.0024753,0,0,0,0,0,0,package://1/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://1/meshes/base_link.STL,,假装机箱-1;支架1-1;支架B-5;摄像头装配体1-2/CM22-2230B电机箱盖-1;假装前灯-1;摄像头装配体1-2/电机B箱体-2;摄像头装配体1-2/探头支撑左盖板-1;摄像头装配体1-2/电机A箱体-1;动力箱盖-3;圆锥齿轮箱（待定）-1;动力箱-5;动力箱-3;动力箱盖-1;电机壳-3;GE40+减速箱GP42C（91：1）+HEDL5540-2/HEDL5540-1;摄像头装配体1-2/探头箱盖板-1;摄像头装配体1-2/探头箱-1;摄像头装配体1-2/探头减速支撑右-1;摄像头装配体1-2/探头减速支撑右盖-1;摄像头装配体1-2/探头支撑左-1;摄像头装配体1-2/轴（电机A箱体）-1;电机接头-3;电机壳-1;电机接头-1;GE40+减速箱GP42C（91：1）+HEDL5540-2/减速箱GP42C-1;电板箱-1/电板箱-2;GE40+减速箱GP42C（91：1）+HEDL5540-1/HEDL5540-1;支架1-2;支架B-4;电板箱-1/电板箱盖-3;电板箱-1/电板箱内轴-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_wheel_front_Link,0.0097088,-5.4153E-05,0.00073677,0,0,0,0.82615,0.0051911,-4.7551E-08,1.0566E-06,0.0028202,1.1756E-07,0.0028228,0,0,0,0,0,0,package://1/meshes/left_wheel_front_Link.STL,1,1,0.94902,1,0,0,0,0,0,0,package://1/meshes/left_wheel_front_Link.STL,,8寸充气轮2-3,坐标系2,基准轴1,left_wheel_front_joint,continuous,-0.1039,5.2752E-05,0.085448,0,0,0,base_link,-0.99997,0.00045312,-0.0072447,,,,,,,,,,,,
left_wheel_rear_Link,0.00970884868104751,-4.17620014626927E-05,0.000737576141954854,0,0,0,0.826148516815797,0.00519109458017778,-2.97882263924424E-08,1.05727977205832E-06,0.00282022220983345,1.60154685938498E-07,0.00282275125627893,0,0,0,0,0,0,package://1/meshes/left_wheel_rear_Link.STL,1,1,0.949019607843137,1,0,0,0,0,0,0,package://1/meshes/left_wheel_rear_Link.STL,,8寸充气轮2-4,坐标系3,基准轴2,left_wheel_rear_joint,continuous,-0.1039,4.0099E-05,0.42145,0,0,0,base_link,0.99998,0.0024952,0.0060631,,,,,,,,,,,,
right_wheel_front_Link,-0.00970884868027652,3.8073988746899E-05,-0.000737775677446859,0,0,0,0.826148517222633,0.00519109458175108,-8.44771274184417E-08,1.05432055405371E-06,0.00282028602396865,-4.27742869112032E-07,0.00282268744370533,0,0,0,0,0,0,package://1/meshes/right_wheel_front_Link.STL,1,1,0.949019607843137,1,0,0,0,0,0,0,package://1/meshes/right_wheel_front_Link.STL,,8寸充气轮2-1,坐标系4,基准轴1,right_wheel_front_joint,continuous,0.1039,-4.1409E-05,0.086953,0,0,0,base_link,-0.99997,0.00045312,-0.0072447,,,,,,,,,,,,
right_wheel_rear_Link,-0.00970884868184682,-0.000548819913143516,-0.000494529216344741,0,0,0,0.826148517020799,0.0051910877950903,7.64908318413826E-07,7.29516407605811E-07,0.0028213111998838,1.2599618791462E-06,0.00282165521175405,0,0,0,0,0,0,package://1/meshes/right_wheel_rear_Link.STL,1,1,0.949019607843137,1,0,0,0,0,0,0,package://1/meshes/right_wheel_rear_Link.STL,,8寸充气轮2-2,坐标系5,基准轴2,right_wheel_rear_joint,continuous,0.1039,0.00055861,0.42271,0,0,0,base_link,0.99998,0.0024952,0.0060631,,,,,,,,,,,,
base_scan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://1/meshes/base_scan.STL,1,1,1,1,0,0,0,0,0,0,package://1/meshes/base_scan.STL,,雷达_雷神M10.stp-1,坐标系6,Axis_base_scan_joint,base_scan_joint,fixed,-0.000737150267890688,0.186848211076242,0.0757259001306266,0,0,0,base_link,0,0,0,,,,,,,,,,,,
